,Planet Name,Detection Method,Orbital Period,Orbit Semi-Major Axis,Planet Radius,Planet Mass,Insolation Flux,Stellar Effective Temperature,Stellar Radius,RA [degree],Dec [degree],Habitable Zone Flag,Planet Classification
727,HD 215152 c,Radial Velocity,7.28243,0.067393,1.17,1.72,,4935.0,0.73,340.8380941,-6.4020685,FALSE,Super Earths
728,HD 215152 d,Radial Velocity,10.86499,0.08799,1.48,2.801,,4935.0,0.73,340.8380941,-6.4020685,FALSE,Super Earths
729,HD 215152 e,Radial Velocity,25.1967,0.15417,1.51,2.877,,4935.0,0.73,340.8380941,-6.4020685,FALSE,Super Earths
730,HD 215497 b,Radial Velocity,3.93404,0.05,2.4,6.3566,,5110.0,0.85,341.652714,-56.5997984,FALSE,sub-Neptunes
731,HD 215497 c,Radial Velocity,567.94,1.282,12.5,104.3,,5113.0,0.9,341.652714,-56.5997984,TRUE,Jovians
732,HD 216435 b,Radial Velocity,1311.0,2.56,13.7,400.4,,5999.0,1.8,343.4094703,-48.5986332,TRUE,Jovians
733,HD 216437 b,Radial Velocity,1334.28,2.497,13.3,706.53609,,5909.0,1.39,343.6639631,-70.0733957,TRUE,Jovians
734,HD 216520 b,Radial Velocity,35.45,0.198,3.18,10.26,,5103.0,0.76,341.8768719,83.6975307,FALSE,sub-Neptunes
735,HD 216520 c,Radial Velocity,154.43,0.528,3.03,9.44,,5103.0,0.76,341.8768719,83.6975307,TRUE,sub-Neptunes
736,HD 216536 b,Radial Velocity,148.60001,0.61,13.8,333.7215,,4639.0,9.83,343.2665641,44.4777303,FALSE,Jovians
737,HD 216770 b,Radial Velocity,118.45,0.46,14.1,181.1631,,5399.0,0.93,343.9748751,-26.6595286,FALSE,Jovians
738,HD 21693 b,Radial Velocity,22.6786,0.1455,2.8,8.23,,5430.0,0.91,51.8040469,-58.3232726,FALSE,sub-Neptunes
739,HD 21693 c,Radial Velocity,53.7357,0.2586,4.34,17.37,,5430.0,0.91,51.8040469,-58.3232726,FALSE,sub-Jovians
740,HD 217107 b,Radial Velocity,7.12682,0.08,13.6,413.179,,5622.0,1.11,344.5647243,-2.3954489,FALSE,Jovians
741,HD 217107 c,Radial Velocity,4270.0,5.32,13.2,826.32,,5575.0,1.2,344.5647243,-2.3954489,FALSE,Jovians
742,HD 21749 c,Transit,7.78993,0.0695,0.892,3.7,67.83,4640.0,0.69,51.7501882,-63.500166,FALSE,Rocky
743,HD 217786 b,Radial Velocity,1319.0,2.38,12.3,4131.62,,5966.0,1.27,345.7838088,-0.4303594,FALSE,Jovians
744,HD 217850 b,Radial Velocity,3501.3,4.56,12.1,6865.128,,5544.0,1.21,345.6526588,58.8754484,FALSE,Jovians
745,HD 218566 b,Radial Velocity,225.7,0.69,9.32,63.566,,4730.0,0.85,347.297417,-2.2611645,TRUE,Jovians
746,HD 219077 b,Radial Velocity,5501.0,6.22,12.5,3302.11,,5362.0,1.91,348.5319387,-62.7018297,FALSE,Jovians
747,HD 219134 b,Radial Velocity,3.092926,0.03876,1.602,4.74,176.2,4699.0,0.78,348.3372026,57.1696255,FALSE,Super Earths
748,HD 219134 c,Radial Velocity,6.76458,0.0653,1.511,4.36,62.1,4699.0,0.78,348.3372026,57.1696255,FALSE,Super Earths
749,HD 219134 d,Radial Velocity,46.859,0.237,1.61,16.17,4.72,4699.0,0.78,348.3372026,57.1696255,FALSE,Super Earths
750,HD 219134 f,Radial Velocity,22.717,0.1463,1.31,7.3,12.38,4699.0,0.78,348.3372026,57.1696255,FALSE,Super Earths
751,HD 219134 g,Radial Velocity,94.2,0.3753,3.28,10.80622,,4913.0,0.77,348.3372026,57.1696255,FALSE,sub-Neptunes
752,HD 219134 h,Radial Velocity,2247.0,3.11,12.7,108.0622,,4913.0,0.77,348.3372026,57.1696255,FALSE,Jovians
753,HD 219415 b,Radial Velocity,2093.3,3.2,13.8,317.83,,4820.0,2.9,348.7243579,56.7303001,TRUE,Jovians
754,HD 219666 b,Transit,6.03607,0.06356,4.71,16.6,139.43,5527.0,1.03,349.5592665,-56.9039857,FALSE,sub-Jovians
755,HD 219828 b,Radial Velocity,3.83492,0.0507,4.85,20.97678,,5807.0,1.61,349.6947029,18.6457524,FALSE,sub-Jovians
